id,title,url,description,topic,type,owner,origin,source,access,evidence,notes,checked,linkStatus,scope,audienceTags,audienceLabel,discoveryNote,facultyFocused
T001,Supervisor resource collection,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1625/Recommended-Resources-for-Supervisors,"HROE’s starting point for supervisor articles, videos and training links.",New supervisors,Toolkit,HROE,Texas A&M,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1625/Recommended-Resources-for-Supervisors,Public resource; provider controls access,Official source page reviewed,,2026-09-16,HTTP 200; content/playback not fully reviewed,Employees,Staff; Faculty; Supervisors,Supervisors & people leaders,Audience tags describe relevance; external guidance is not Texas A&M policy.,False
T002,LinkedIn Learning collections,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1591/LinkedIn-Learning-Collections,"Find curated learning in accountability, teamwork, initiative, AI and management.",Professional growth,Learning collection,HROE,Texas A&M,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1591/LinkedIn-Learning-Collections,Public index; LinkedIn Learning access required for courses,Official source page reviewed,,2026-09-16,HTTP 200; content/playback not fully reviewed,Employees,Staff; Faculty; Supervisors,Shared employee resource,Audience tags describe relevance; external guidance is not Texas A&M policy.,False
T003,The Leadership Collective: recordings and resources,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1709/The-Leadership-Collective,Explore HROE’s leadership community and its learning resources.,Trust and teamwork,Learning collection,HROE,Texas A&M,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1709/The-Leadership-Collective,Public overview; some materials may require university access,Official source page reviewed,,2026-09-16,HTTP 200; content/playback not fully reviewed,Employees,Staff; Faculty; Supervisors,Shared employee resource,Audience tags describe relevance; external guidance is not Texas A&M policy.,False
T006,Employee development planning guide,https://agrilifeas.tamu.edu/documents/employee-development.pdf/,"Consider learning through work experiences, relationships and education.",Coaching and mentoring,Guide / job aid,Texas A&M AgriLife,Texas A&M,https://agrilifeas.tamu.edu/documents/employee-development.pdf/,Public resource; provider controls access,Official source page reviewed,,2026-09-16,Direct check 403; confirm access with publisher,Employees,Staff; Faculty; Supervisors,AgriLife planning guide,Audience tags describe relevance; external guidance is not Texas A&M policy.,False
T007,Faculty mentoring resources,https://cte.tamu.edu/services-and-impact/mentoring-cte.html,Find faculty mentoring services and academy information.,Coaching and mentoring,Toolkit,Center for Teaching Excellence,Texas A&M,https://cte.tamu.edu/services-and-impact/mentoring-cte.html,Public resource; provider controls access,Official source page reviewed,,2026-09-16,Direct check 404; confirm access with publisher,Employees,Faculty; Supervisors,Faculty mentoring,Audience tags describe relevance; external guidance is not Texas A&M policy.,True
T008,AI resources for employees,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1992/Artificial-Intelligence-AI-Resources-for-Employees,Explore employee and manager learning resources for AI at work.,Digital skills,Learning collection,HROE,Texas A&M,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1992/Artificial-Intelligence-AI-Resources-for-Employees,Public index; linked learning may require sign-in,Official source page reviewed,,2026-09-16,HTTP 200; content/playback not fully reviewed,Employees,Staff; Faculty; Supervisors,Shared employee resource,Audience tags describe relevance; external guidance is not Texas A&M policy.,False
T009,How to Keep Performance Feedback on Track,https://cruciallearning.com/blog/how-to-keep-performance-feedback-on-track/,Prepare to discuss recurring patterns during performance feedback.,Communication and feedback,Article,Crucial Learning,HROE-curated external,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1625/Recommended-Resources-for-Supervisors,"Publisher website; video, registration or account requirements may apply",Listed on HROE’s public supervisor resource page,HROE listing verified. Linked content and playback were not all individually reviewed; external content is not A&M policy.,2026-09-16,HTTP 200; content/playback not fully reviewed,Employees,Staff; Faculty; Supervisors,Shared employee resource,Audience tags describe relevance; external guidance is not Texas A&M policy.,False
T010,How to Make It Safe to Deliver Feedback,https://cruciallearning.com/blog/how-to-make-it-safe-to-deliver-feedback/,Consider how to make a feedback conversation more constructive.,Communication and feedback,Article,Crucial Learning,HROE-curated external,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1625/Recommended-Resources-for-Supervisors,"Publisher website; video, registration or account requirements may apply",Listed on HROE’s public supervisor resource page,HROE listing verified. Linked content and playback were not all individually reviewed; external content is not A&M policy.,2026-09-16,HTTP 200; content/playback not fully reviewed,Employees,Staff; Faculty; Supervisors,Shared employee resource,Audience tags describe relevance; external guidance is not Texas A&M policy.,False
T011,Leaders Want Input. Employees Won’t Share it. What Can We Do?,https://cruciallearning.com/blog/leaders-want-input-employees-wont-share-it-what-can-we-do/,An article included in HROE’s supervisor resource collection.,Communication and feedback,Article,Crucial Learning,HROE-curated external,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1625/Recommended-Resources-for-Supervisors,"Publisher website; video, registration or account requirements may apply",Listed on HROE’s public supervisor resource page,HROE listing verified. Linked content and playback were not all individually reviewed; external content is not A&M policy.,2026-09-16,HTTP 200; content/playback not fully reviewed,Employees,Staff; Faculty; Supervisors,Shared employee resource,Audience tags describe relevance; external guidance is not Texas A&M policy.,False
T012,My Younger Employees Won't Accept Feedback. What Can I Do?,https://cruciallearning.com/blog/my-younger-employees-wont-accept-feedback-what-can-i-do/,An article included in HROE’s supervisor resource collection.,Communication and feedback,Article,Crucial Learning,HROE-curated external,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1625/Recommended-Resources-for-Supervisors,"Publisher website; video, registration or account requirements may apply",Listed on HROE’s public supervisor resource page,HROE listing verified. Linked content and playback were not all individually reviewed; external content is not A&M policy.,2026-09-16,HTTP 200; content/playback not fully reviewed,Employees,Staff; Faculty; Supervisors,Shared employee resource,Audience tags describe relevance; external guidance is not Texas A&M policy.,False
T013,Tips on Influencing Your Team Through Change,https://cruciallearning.com/blog/tips-on-influencing-your-team-through-change/,Explore ways to help a team navigate workplace change.,Change and adaptability,Article,Crucial Learning,HROE-curated external,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1625/Recommended-Resources-for-Supervisors,"Publisher website; video, registration or account requirements may apply",Listed on HROE’s public supervisor resource page,HROE listing verified. Linked content and playback were not all individually reviewed; external content is not A&M policy.,2026-09-16,HTTP 200; content/playback not fully reviewed,Employees,Staff; Faculty; Supervisors,Shared employee resource,Audience tags describe relevance; external guidance is not Texas A&M policy.,False
T014,What to Do When Employees Don't Respond to Feedback,https://cruciallearning.com/blog/what-to-do-when-employees-dont-respond-to-feedback/,An article included in HROE’s supervisor resource collection.,Communication and feedback,Article,Crucial Learning,HROE-curated external,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1625/Recommended-Resources-for-Supervisors,"Publisher website; video, registration or account requirements may apply",Listed on HROE’s public supervisor resource page,HROE listing verified. Linked content and playback were not all individually reviewed; external content is not A&M policy.,2026-09-16,HTTP 200; content/playback not fully reviewed,Employees,Staff; Faculty; Supervisors,Shared employee resource,Audience tags describe relevance; external guidance is not Texas A&M policy.,False
T015,Working with Employee Input,https://cruciallearning.com/blog/working-with-employee-input/,An article included in HROE’s supervisor resource collection.,Communication and feedback,Article,Crucial Learning,HROE-curated external,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1625/Recommended-Resources-for-Supervisors,"Publisher website; video, registration or account requirements may apply",Listed on HROE’s public supervisor resource page,HROE listing verified. Linked content and playback were not all individually reviewed; external content is not A&M policy.,2026-09-16,HTTP 200; content/playback not fully reviewed,Employees,Staff; Faculty; Supervisors,Shared employee resource,Audience tags describe relevance; external guidance is not Texas A&M policy.,False
T016,"Working with Sensitive, Emotional Employees",https://cruciallearning.com/blog/working-with-sensitive-emotional-employees/,An article included in HROE’s supervisor resource collection.,Communication and feedback,Article,Crucial Learning,HROE-curated external,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1625/Recommended-Resources-for-Supervisors,"Publisher website; video, registration or account requirements may apply",Listed on HROE’s public supervisor resource page,HROE listing verified. Linked content and playback were not all individually reviewed; external content is not A&M policy.,2026-09-16,HTTP 200; content/playback not fully reviewed,Employees,Staff; Faculty; Supervisors,Shared employee resource,Audience tags describe relevance; external guidance is not Texas A&M policy.,False
T017,How to Navigate Difficult Conversations with Employees,https://online.hbs.edu/blog/post/how-to-have-difficult-conversations-with-employees,An article included in HROE’s supervisor resource collection.,Communication and feedback,Article,Harvard Business School Online,HROE-curated external,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1625/Recommended-Resources-for-Supervisors,"Publisher website; video, registration or account requirements may apply",Listed on HROE’s public supervisor resource page,HROE listing verified. Linked content and playback were not all individually reviewed; external content is not A&M policy.,2026-09-16,HTTP 200; content/playback not fully reviewed,Employees,Staff; Faculty; Supervisors,Shared employee resource,Audience tags describe relevance; external guidance is not Texas A&M policy.,False
T018,Crucial Influence:  Four Ways Leaders Can Become More Influential,https://www.youtube.com/watch?v=DB_kcTAFZyE,A video included in HROE’s supervisor resource collection.,Trust and teamwork,Video,Crucial Learning,HROE-curated external,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1625/Recommended-Resources-for-Supervisors,"Publisher website; video, registration or account requirements may apply",Listed on HROE’s public supervisor resource page,HROE listing verified. Linked content and playback were not all individually reviewed; external content is not A&M policy.,2026-09-16,HTTP 200; content/playback not fully reviewed,Employees,Staff; Faculty; Supervisors,Shared employee resource,Audience tags describe relevance; external guidance is not Texas A&M policy.,False
