id,title,description,url,owner,scope,audience,stages,type,topic,duration,delivery,cost,eligibility,status,notes,contact,sourceBasis,checked,audienceTags,audienceLabel,discoveryNote,facultyFocused
E001,New Supervisor Bootcamp,"Build a foundation in supervisor responsibilities, university processes and campus resources.",https://service.tamu.edu/TDClient/45/Portal/KB/Article/1973/New-Supervisor-Bootcamp,HROE Organizational Development,Employees,Staff; Faculty; Supervisors,Start at A&M; Lead people,Course,Supervisor onboarding; operational foundations,8 hours; one day,In person; alternative options for distance campuses,No cost to university employees,New and newly promoted supervisors have priority; existing supervisors may join a waitlist.,Published recurring schedule,"Next listed dates after the review day: October 21, November 18 and December 16, 2026. Strongly encouraged; the page does not call it mandatory.",orgdev@tamu.edu,Official provider page reviewed,2026-09-16,Staff; Faculty; Supervisors,New supervisors,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
E002,The Leadership Collective,"Connect with colleagues through leadership conversations, recorded learning and an employee community.",https://service.tamu.edu/TDClient/45/Portal/KB/Article/1709/The-Leadership-Collective,HROE Organizational Development,Employees,Staff; Faculty; Supervisors,Grow your skills; Lead people; Lead across A&M; Develop others,Community,Leadership community; self-awareness; ethics,Varies by activity,"Events, recordings and Teams community",Not published; confirm with provider,Faculty and staff with or without a formal leadership title.,Published community,"The July 30, 2026 conference is a past event. Some recordings and collaboration spaces require a university account.",orgdev@tamu.edu,Official provider page reviewed,2026-09-16,Staff; Faculty; Supervisors,Staff & faculty,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
E003,Crucial Conversations for Mastering Dialogue,Practice constructive dialogue when opinions differ and the stakes are high.,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1587/Leadership-Development,HROE Organizational Development,Employees,Staff; Faculty,Grow your skills,Course,Communication; conflict,13 hours; multiple sessions,See provider,Not published; confirm with provider,University employees; verify course-specific eligibility and registration.,Published offering; enrollment not checked,Check TrainTraq for sessions and any materials fee.,orgdev@tamu.edu,Official provider page reviewed,2026-09-16,Staff; Faculty; Supervisors,Staff & faculty,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
E004,Crucial Conversations for Accountability,Address unmet expectations and strengthen accountability through effective conversations.,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1587/Leadership-Development,HROE Organizational Development,Employees,Staff; Faculty,Lead people,Course,Accountability; performance; communication,16 hours; multiple sessions,See provider,Not published; confirm with provider,University employees; verify course-specific eligibility and registration.,Published offering; enrollment not checked,Check TrainTraq for sessions and any materials fee.,orgdev@tamu.edu,Official provider page reviewed,2026-09-16,Staff; Faculty; Supervisors,Staff & faculty,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
E005,Crucial Influence,Explore how to influence behavior and support lasting change.,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1587/Leadership-Development,HROE Organizational Development,Employees,Staff; Faculty,Lead across A&M,Course,Influence; behavior change,Source lists 2.5 hours; confirm,See provider,Not published; confirm with provider,University employees; verify course-specific eligibility and registration.,Published offering; enrollment not checked,The public page lists 2.5 hours and also describes one-day delivery. Resolve this discrepancy before publishing a time commitment.,orgdev@tamu.edu,Official provider page reviewed,2026-09-16,Staff; Faculty; Supervisors,Staff & faculty,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
E006,Mastering Emotional Intelligence Level 1,Build awareness of emotions and improve workplace relationships.,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1586/Service-Excellence-Professional-Effectiveness,HROE Organizational Development,Employees,Staff; Faculty,Grow your skills,Course,Emotional intelligence; relationships,8 hours,See provider,Not published; confirm with provider,University employees; confirm registration and materials fee.,Published offering; enrollment not checked,,orgdev@tamu.edu,Official provider page reviewed,2026-09-16,Staff; Faculty; Supervisors,Staff & faculty,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
E007,Successfully Transitioning Through Change: It Starts With You,Develop personal strategies for navigating workplace transitions.,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1586/Service-Excellence-Professional-Effectiveness,HROE Organizational Development,Employees,Staff; Faculty,Grow your skills,Course,Change; resilience,2.5 hours,See provider,Not published; confirm with provider,University employees; confirm session availability.,Published offering; enrollment not checked,,orgdev@tamu.edu,Official provider page reviewed,2026-09-16,Staff; Faculty; Supervisors,Staff & faculty,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
E008,AI@Work: Tools for Today’s Workplace,Explore practical AI tools for daily work.,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1588/Digital-Skills-Academy,HROE Organizational Development,Employees,Staff; Faculty,Grow your skills,Course,Responsible AI; productivity,2 hours,Virtual instructor-led training,Not published; confirm with provider,Employees; see provider for technical requirements.,Published offering; enrollment not checked,Enabling professional development; not a dedicated leadership program.,orgdev@tamu.edu,Official provider page reviewed,2026-09-16,Staff; Faculty,Staff & faculty,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
E009,Introduction to Excel,Build foundational spreadsheet skills for workplace tasks.,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1588/Digital-Skills-Academy,HROE Organizational Development,Employees,Staff; Faculty,Grow your skills,Course,Digital skills; data,2 hours,Virtual instructor-led training,Not published; confirm with provider,Employees; see provider for technical requirements.,Published offering; enrollment not checked,Enabling professional development; not a dedicated leadership program.,orgdev@tamu.edu,Official provider page reviewed,2026-09-16,Staff; Faculty,Staff & faculty,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
E010,Introduction to Microsoft Teams,Learn collaboration basics in Microsoft Teams.,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1588/Digital-Skills-Academy,HROE Organizational Development,Employees,Staff; Faculty,Grow your skills,Course,Digital skills; collaboration,2 hours,Virtual instructor-led training,Not published; confirm with provider,Employees; see provider for technical requirements.,Published offering; enrollment not checked,Enabling professional development; not a dedicated leadership program.,orgdev@tamu.edu,Official provider page reviewed,2026-09-16,Staff; Faculty,Staff & faculty,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
E011,Strategic Consulting,"Work with Organizational Development on assessments, planning and improvements affecting a team or organization.",https://service.tamu.edu/TDClient/45/Portal/KB/Article/1908/Strategic-Consulting-Service,HROE Organizational Development,Employees,Staff; Faculty,Lead across A&M,Program,Strategy; organizational effectiveness; change,Tailored engagement,Consultation and facilitated support,Charges may apply if costs are incurred; confirm scope,"Leaders, supervisors and teams seeking organizational support.",Published offering; enrollment not checked,Service rather than an enrollable course. Related request page: https://service.tamu.edu/TDClient/45/Portal/Requests/Service/802/Strategic-Consulting,orgdev@tamu.edu,Official provider page reviewed,2026-09-16,Staff; Faculty; Supervisors,Staff & faculty,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
E012,Team Effectiveness,Explore customized support for how a team communicates and works together.,https://service.tamu.edu/TDClient/45/Portal/Requests/ServiceCatalog/Category/254/Customized-Team-Development-and-Organizational-Effectiveness,HROE Organizational Development,Employees,Staff; Faculty,Lead people; Lead across A&M,Program,Team development; collaboration,Not published,See provider,Not published; confirm with provider,University teams; consult HROE.,Listed service; scope and access to confirm,The category also lists Coaching as coming soon; coaching is not represented as an available service here.,orgdev@tamu.edu,Official provider page reviewed,2026-09-16,Staff; Faculty; Supervisors,Staff & faculty,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
E013,Generative AI for Managers learning collection,Explore a curated learning collection for managers using generative AI at work.,https://service.tamu.edu/TDClient/45/Portal/KB/Article/1992/Artificial-Intelligence-AI-Resources-for-Employees,HROE Organizational Development,Employees,Staff; Faculty,Lead people; Lead across A&M,Resource,AI; responsible management,Not published,LinkedIn Learning collection,Not published; confirm with provider,Employees with applicable LinkedIn Learning access.,Published offering; enrollment not checked,Collection linked by HROE; individual courses and completion requirements were not audited.,orgdev@tamu.edu,Official provider page reviewed,2026-09-16,Staff; Faculty; Supervisors,Staff & faculty,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
E014,Academic Leader Development Fellows,Develop academic leadership through a fellowship and collaborative work on leader development.,https://facultyaffairs.tamu.edu/faculty-and-leadership-development/aldf/index.html,Faculty Affairs,Employees,Faculty; Supervisors,Lead across A&M; Develop others,Program,Leadership,Academic year,See provider,Not published; confirm with provider,Faculty in titled academic leadership roles; selection applies.,AY2027 program published; application deadline passed,"Published application deadline: August 21, 2026. Confirm a future cycle rather than treating this cohort as open.",facultydevelopment@tamu.edu,Official provider page reviewed,2026-09-16,Faculty; Supervisors,Academic leaders,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",True
E015,Academic Leadership Academy,Explore leadership situations with academic peers through discussion and development activities.,https://facultyaffairs.tamu.edu/faculty-and-leadership-development/academic-leadership-academy/index.html,Faculty Affairs,Employees,Faculty; Supervisors,Lead people; Lead across A&M,Program,Leadership,Not published,See provider,Not published; confirm with provider,Titled academic leaders; primarily fellowship cohorts. Confirm access.,Published offering; enrollment not checked,Heather Wilkinson is listed as a program contact.,h-wilkinson@tamu.edu,Official provider page reviewed,2026-09-16,Faculty; Supervisors,Academic leaders,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",True
E016,APT to Lead,Develop leadership capacity among academic professional track faculty.,https://facultyaffairs.tamu.edu/faculty-and-leadership-development/apt-to-lead/index.html,Faculty Affairs,Employees,Faculty,Lead people; Lead across A&M,Program,Leadership,Eight sessions in published Spring 2026 cohort,Hybrid; College Station participants in person,Not published; confirm with provider,"APT faculty with a titled leadership role or at least one promotion, plus five years of full-time A&M service; confirm full criteria.",Published program; Spring 2026 cohort is past,Next application window was not verified.,facultydevelopment@tamu.edu,Official provider page reviewed,2026-09-16,Faculty; Supervisors,Faculty,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",True
E017,Department Head Development Fellows,Contribute to department head development while building leadership experience.,https://facultyaffairs.tamu.edu/faculty-and-leadership-development/dhdf/index.html,Faculty Affairs,Employees,Faculty; Supervisors,Lead across A&M; Develop others,Program,Leadership,Academic year,See provider,Not published; confirm with provider,Eligible department heads; competitive selection.,AY2027 program published; application deadline passed,"Published application deadline: August 21, 2026.",facultydevelopment@tamu.edu,Official provider page reviewed,2026-09-16,Faculty; Supervisors,Academic leaders,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",True
E020,Faculty Development Leave,Apply for an approved development experience supporting scholarly and professional growth.,https://facultyaffairs.tamu.edu/faculty-and-leadership-development/fdl/index.html,Faculty Affairs,Employees,Faculty,Grow your skills; Lead across A&M,Program,Leadership,Approved leave period,See provider,Not published; confirm with provider,Eligible faculty under current guidelines; college and university approvals apply.,FY28 application guidance published,"University deadline: October 1, 2026 at noon; department and college deadlines may be earlier. This is a development mechanism, not a leadership course.",facultydevelopment@tamu.edu,Official provider page reviewed,2026-09-16,Faculty,Faculty,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",True
E021,Faculty Development Series,Participate in recurring faculty development sessions and access available recordings.,https://facultyaffairs.tamu.edu/faculty-and-leadership-development/fds/index.html,Faculty Affairs,Employees,Faculty,Grow your skills,Program,Leadership,"Recurring sessions, generally noon–2 p.m.",Hybrid and recordings,Not published; confirm with provider,Faculty across the A&M System; check session details.,Published offering; enrollment not checked,Published regular pattern: first Thursday; verify exceptions and registration.,facultydevelopment@tamu.edu,Official provider page reviewed,2026-09-16,Faculty,Faculty,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",True
E022,Generating Professional Success (GPS) on the Academic Professional Track,Plan career progress and communicate impact as an APT faculty member.,https://facultyaffairs.tamu.edu/faculty-and-leadership-development/gps/index.html,Faculty Affairs,Employees,Faculty,Grow your skills,Program,Leadership,Two-day program,See provider,Not published; confirm with provider,Academic professional track faculty.,"Published program; May 12–13, 2026 workshop is past",Slides and handouts may require login.,facultydevelopment@tamu.edu,Official provider page reviewed,2026-09-16,Faculty,Faculty,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",True
E023,Got Tenure! Now What?,Plan the next stage after tenure and prepare for advancement.,https://facultyaffairs.tamu.edu/faculty-and-leadership-development/gtnw/index.html,Faculty Affairs,Employees,Faculty,Grow your skills,Program,Leadership,Two-day program,See provider,Not published; confirm with provider,Recently tenured faculty pursuing full professor.,"Published program; May 12–13, 2026 workshop is past",Select sessions and login-protected materials are listed.,facultydevelopment@tamu.edu,Official provider page reviewed,2026-09-16,Faculty,Faculty,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",True
E024,MODEL Fellows,Gain mentored leadership experience through a project and professional development.,https://facultyaffairs.tamu.edu/faculty-and-leadership-development/model-fellows/index.html,Faculty Affairs,Employees,Faculty,Lead across A&M; Develop others,Program,Leadership,Academic-year fellowship,See provider,Not published; confirm with provider,"Eligible faculty interested in leadership; selection, workload and concurrent-program restrictions apply.",Published fellowship; confirm application cycle,"Program includes a project, mentoring and development support. Release time requires unit planning.",facultydevelopment@tamu.edu,Official provider page reviewed,2026-09-16,Faculty; Supervisors,Faculty,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",True
E025,Mid-Career Accelerator,Use reflection and a faculty community to strengthen post-tenure career direction.,https://facultyaffairs.tamu.edu/faculty-and-leadership-development/mid-career-accelerator/index.html,Faculty Affairs,Employees,Faculty,Grow your skills,Program,Leadership,Fall semester in odd-numbered years,In person; peer learning and coaching,Not published; confirm with provider,Associate or full professors at least two years post-tenure; department head endorsement.,Published program; confirm next cohort,Listed Friday dates match a prior odd-year cycle; do not label them as Fall 2026.,facultydevelopment@tamu.edu,Official provider page reviewed,2026-09-16,Faculty,Faculty,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",True
E026,Moving into Retirement,Explore retirement workshops and continued participation in the faculty community.,https://facultyaffairs.tamu.edu/faculty-and-leadership-development/moving-into-retirement/index.html,Faculty Affairs,Employees,Faculty,Develop others,Resource,Career transition; continued service,Not published,See provider,Not published; confirm with provider,Faculty considering retirement; retiree community eligibility differs.,Published offering; enrollment not checked,"Lifecycle resource, not a leadership course. No individual retirement advice is provided in this inventory.",facultydevelopment@tamu.edu,Official provider page reviewed,2026-09-16,Faculty,Faculty,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",True
E027,New Academic Leader Orientation (NALO),Learn the responsibilities and university context of a new academic leadership appointment.,https://facultyaffairs.tamu.edu/faculty-and-leadership-development/nalo/index.html,Faculty Affairs,Employees,Faculty; Supervisors,Start at A&M; Lead people; Lead across A&M,Program,Leadership,Two days,In person; slides available,Not published; confirm with provider,"New provost, vice president, dean or department head titles; others with approval.","Published program; August 17–18, 2026 event is past","Required for faculty with department head titles who have not previously completed it, according to the provider.",facultydevelopment@tamu.edu,Official provider page reviewed,2026-09-16,Faculty; Supervisors,Academic leaders,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",True
E028,New Faculty Orientation (NFO),"Connect new faculty with university culture, colleagues and resources.",https://facultyaffairs.tamu.edu/faculty-and-leadership-development/nfo/index.html,Faculty Affairs,Employees,Faculty,Start at A&M,Program,Leadership,Three main days plus supplementary sessions,In person; supplementary online sessions,Not published; confirm with provider,Faculty who joined during the previous academic year.,Published program; August 2026 event is past,Main event August 11–13; supplementary sessions the week of August 17. Materials remain linked.,facultydevelopment@tamu.edu,Official provider page reviewed,2026-09-16,Faculty,Faculty,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",True
E029,Promotion & Tenure Informationals,Find information supporting faculty advancement and development.,https://facultyaffairs.tamu.edu/faculty-and-leadership-development/index.html,Faculty Affairs,Employees,Faculty,Grow your skills,Resource,Career development; advancement,Not published,SharePoint resources,Not published; confirm with provider,Faculty on applicable promotion or tenure pathways.,Official directory links to login-protected materials,Resource content behind login was not audited.,facultydevelopment@tamu.edu,Faculty Affairs development directory,2026-09-16,Faculty,Faculty,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",True
E030,Roadmap: Cultivating Early-Career Success on the Tenure-Track,Plan an early faculty career and clarify expectations for tenure.,https://facultyaffairs.tamu.edu/faculty-and-leadership-development/roadmap/index.html,Faculty Affairs,Employees,Faculty,Start at A&M; Grow your skills,Program,Leadership,Two days,See provider,Not published; confirm with provider,"Tenure-track faculty, ideally years one through three.","Published program; May 11–12, 2026 event is past",Record retained as an established program and source of materials; confirm the next cycle.,facultydevelopment@tamu.edu,Official provider page reviewed,2026-09-16,Faculty,Faculty,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",True
E031,SEC Academic Leadership Development Program,Explore a cross-university pathway for academic leadership development.,https://facultyaffairs.tamu.edu/faculty-and-leadership-development/sec-aldp-fellows/index.html,Faculty Affairs,Employees,Faculty; Supervisors,Lead across A&M,Program,Leadership,Not published,See provider,Not published; confirm with provider,Selected faculty and academic leaders; institutional nomination or selection applies.,Published fellowship; confirm current nomination cycle,,facultydevelopment@tamu.edu,Official provider page reviewed,2026-09-16,Faculty; Supervisors,Academic leaders,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",True
E032,Successful Conflict Conversations,Practice constructive approaches to difficult academic workplace conversations.,https://facultyaffairs.tamu.edu/faculty-and-leadership-development/scc/index.html,Faculty Affairs,Employees,Faculty; Staff,Grow your skills,Course,Conflict; communication,6 hours,In-person or online sessions listed,Not published; confirm with provider,Faculty and academic staff.,Published offering; enrollment not checked,Published dates need a fresh cycle check before enrollment is promoted.,facultydevelopment@tamu.edu,Official provider page reviewed,2026-09-16,Staff; Faculty; Supervisors,Faculty & academic staff,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",True
E033,Third-Party Conflict Resolution for Leaders,Develop skills for helping others resolve workplace conflict.,https://facultyaffairs.tamu.edu/faculty-and-leadership-development/third-party-conflict-resolution/index.html,Faculty Affairs,Employees,Faculty; Supervisors,Lead people; Lead across A&M,Course,Conflict; mediation skills,10 hours across two half-days,See provider,Not published; confirm with provider,Academic leaders; unit-specific offerings may be arranged.,Published offering; enrollment not checked,Completion recognition requires full attendance. Confirm the next session dates.,facultydevelopment@tamu.edu,Official provider page reviewed,2026-09-16,Faculty; Supervisors,Academic leaders,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",True
E034,Transformational Teaching & Learning Conference,"Explore teaching practice, integrity and educational improvement with colleagues.",https://facultyaffairs.tamu.edu/faculty-and-leadership-development/ttlc/index.html,Faculty Affairs,Employees,Faculty,Grow your skills,Program,Teaching; integrity; continuous improvement,Two-day 2026 conference,See provider,Not published; confirm with provider,Faculty and academic educators; check annual registration.,Published recurring conference; 2026 recap available,Teaching development adjacent to leadership; not a general employee leadership course.,facultydevelopment@tamu.edu,Official provider page reviewed,2026-09-16,Faculty,Faculty,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",True
E035,Faculty Mentoring Academy,Develop evidence-informed mentoring practices through interactive competency sessions.,https://cte.tamu.edu/services-and-impact/mentoring-cte.html,Center for Teaching Excellence and campus partners,Employees,Faculty,Develop others,Program,Mentoring; feedback; development,Multiple competency sessions,Workshops; virtual sessions listed,Not published; confirm with provider,Faculty; confirm session audience.,Published offering; enrollment not checked,Completion recognition and session schedules should be confirmed with CTE.,cte@tamu.edu,Official provider page reviewed,2026-09-16,Faculty; Supervisors,Faculty,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",True
E037,Student Affairs Staff Development Team,Find development opportunities coordinated for Division of Student Affairs employees.,https://studentaffairs.tamu.edu/committees/,Division of Student Affairs,Employees,Staff,Grow your skills,Community,Staff development; campus networks,Not published,Programs and intranet resources,Not published; confirm with provider,Division of Student Affairs employees.,Published committee and internal resource pathway,Individual offerings require intranet access and unit confirmation.,Division of Student Affairs staff development contacts,Official provider page reviewed,2026-09-16,Staff,Student Affairs staff,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
E038,Student Affairs Staff Development Grants,Explore unit support for professional development activities.,https://studentaffairs.tamu.edu/committees/,Division of Student Affairs,Employees,Staff,Grow your skills,Resource,Development funding,Not published,See provider,Not published; confirm with provider,Eligible Division of Student Affairs staff; application and approval apply.,Published application pathway; internal details not audited,"Funding opportunity, not a course.",Division of Student Affairs staff development contacts,Official provider page reviewed,2026-09-16,Staff,Student Affairs staff,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
E039,AgriLife employee development planning guide,"Use education, experience and feedback to plan employee development.",https://agrilifeas.tamu.edu/documents/employee-development.pdf/,Texas A&M AgriLife Administrative Services,Employees,Staff; Faculty; Supervisors,Grow your skills; Lead people; Develop others,Resource,Development planning; coaching,Not published,PDF guide,Not published; confirm with provider,AgriLife employees and supervisors; planning ideas may inform broader practice.,Public resource,"The suggested learning mix is a planning heuristic, not a requirement or proven formula for every employee.",AgriLife Administrative Services,Official provider page reviewed,2026-09-16,Staff; Faculty; Supervisors,AgriLife employees,"Audience filters indicate relevance. Provider eligibility, selection and unit restrictions still apply.",False
